RaceClass,RaceIDNumber,TrackName,TrackID,CupName,RacePosition,PlayerName,FixPlayerName,RacePoints,OldTotalScore,NewTotalScore
Divisie_1,22,Bowser's Castle,15,Special Cup,3,Gianni,Gianni,10,171,181
Divisie_1,22,Bowser's Castle,15,Special Cup,4,Erik,Erik,9,175,184
Divisie_1,22,Bowser's Castle,15,Special Cup,5,Christiaan,Christiaan,8,76,84
Divisie_1,22,Bowser's Castle,15,Special Cup,6,Bas,Bas,7,161,168
Divisie_1,22,Bowser's Castle,15,Special Cup,7,Menno,Menno,6,140,146
Divisie_1,22,Bowser's Castle,15,Special Cup,8,Thijmen,Thijmen,5,113,118
Divisie_1,22,Bowser's Castle,15,Special Cup,9,bokkie,bokkie,4,104,108
Divisie_1,22,Bowser's Castle,15,Special Cup,10,Pieter,Pieter,3,156,159
Divisie_1,22,Bowser's Castle,15,Special Cup,11,Erwin,Erwin,2,102,104
Divisie_1,22,Bowser's Castle,15,Special Cup,12,Brian,Brian,1,128,129
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,1,Blaasie,Blaasie,15,225,240
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,2,Bas,Bas,12,168,180
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,3,Gianni,Gianni,10,181,191
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,4,Pieter,Pieter,9,159,168
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,5,Erwin,Erwin,8,104,112
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,6,Erik,Erik,7,184,191
Divisie_1,23,GCN Daisy Cruiser,82,Feather Cup,7,Mike,Mike,6,198,204
